Show Title,Release Date,Show Decription,Genre,Streaming Services,Creator,# of seasons,# of total episodes
Bojack Horseman,2014,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",Animated,Netflix,Rapheal Bob-Waksberg,6,77
Arcane,2021,"Amid the stark discord of twin cities Piltover and Zaun, two sisters fight on rival sides of a war between magic technologies and clashing convictions.",Animated,Netflix,"
Pascal Charrue, Arnaud Delord",2,18
Futurama,1999,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",Animated,"Hulu, Max, Netflix, Paramount+, Peacock",David Cohen and Matt Groening,14,180
Smiling Friends,2020,"In a colorful yet bizarre world, the employees at a small firm dedicated to making its customers smile discover that their jobs are rarely as simple as they seem.",Animated,Max,Michael Cusack and Zach Hadel,2,21
Adventure Time,2010,"A 12-year-old boy and his best friend, a wise 28-year-old dog with magical powers, go on a series of surreal adventures in a remote future.",Animated,"Hulu, Max",Pendleton Ward,10,289
,,,,,,,
The Secret Lives of Mormon Wives,2024,Reality show about swingers who happen to be Mormon wives.,Reality TV,Hulu,Jeff Jenkins,1,8
The Bachelor,2002,"A single bachelor dates multiple women over several weeks, narrowing them down to hopefully find his true love.",Reality TV,,Mike Fleiss,29,309
Clarkson's Farm,2021,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,Reality TV,Prime Video,Jeremy Clarkson,4,25
Below Deck,2013,Follows the crew of a multi million dollar charter boat in the Caribbean.,Reality TV,Peacock,Mark Cronin,12,176
RuPaul's Drag Race,2009,RuPaul searches for America's next drag superstar.,Reality TV,"Hulu, Paramount+","
RuPaul, Michelle Visage, Merle Ginsberg",17,235
,,,,,,,
"The Man in the High Castle",2015,"In a dystopian America dominated by Nazi Germany and Imperial Japan, a young woman discovers a mysterious film that may hold the key to toppling the totalitarian regimes.",Historical,Prime Video,Frank Spotnitz,4,40
Lessons in Chemistry,2023,"In the 1950s, Elizabeth Zott's dream of being a scientist is challenged by a society that says women belong in the domestic sphere; she accepts a job on a TV cooking show and sets out to teach a nation of housewives way more than recipes.",Historical,Apple TV+,Lee Eisenberg,1,8
The Great,2020,"A royal woman living in rural Russia during the 18th century is forced to choose between her own personal happiness and the future of Russia, when she marries an Emperor.",Historical,Hulu,Tony McNamara,3,30
The Tudors,2007,"Epic series reveals the scandalous life of a young king whose affairs and obsession with producing a male heir changed marriage, the church, and the world.",Historical,"Paramount+, Prime Video",Michael Hirst,4,38
Chernobyl,2019,"In April 1986, the city of Chernobyl in the Soviet Union suffers one of the worst nuclear disasters in the history of mankind. Consequently, many heroes put their lives on the line in the following days, weeks and months.",Historical,Max,Craig Mazin,1,5
,,,,,,,
Wild Wild Country,2018,"When Osho, the world's most controversial guru, builds an Utopian city deep in the Oregon country, conflict with the locals escalates into a national scandal.",Documentary,Netflix,,1,6
Daughters of the Cult,2024,"Based on life of cult leader Ervil Morrell LeBaron, leader of a religious fundamentalist group who ordered the mass murders of his rivals by using the religious doctrine of blood atonement to justify the killings.",Documentary,Hulu,Sara Mast,1,5
Evil Lives Here,2016,"A TV series where individuals share their perspectives of loved ones who committed horrific crimes.",Documentary,"Hulu, Max",Johnathan Santos,16,154
Planet Earth,2007,"A documentary series on the wildlife found on Earth. Each episode covers a different habitat: deserts, mountains, deep oceans, shallow seas, forests, caves, polar regions, fresh water, plains and jungles. Narrated by David Attenborough.",Documentary,Max,Alastair Fothergill,1,11
Sprint,2024,Follow athletes from all around the world and dive inside the minds of those top athletes who practice to become the world's fastest person. It provides an insider's perspective on the high stakes and mental toughness of sprinters.,Documentary,Netflix,,2,10
,,,,,,,
Criminal Minds,2005,A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.,Crime/Mystery,"Hulu, Prime Video, Paramount+",Jeff Davis,18,345
Dexter,2006,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and his nights committing them.",Crime/Mystery,"Netflix, Paramount+",James Manos Jr.,8,96
Missing You,2025,Detective Kat Donovan's world unravels when she finds her estranged fiancé on a dating app. Leading her to reopen her father's unsolved murder.,Crime/Mystery,Netflix,Harlan Coben,1,5
Ripley,2024,"A grifter named Ripley living in New York during the 1960s is hired by a wealthy man to bring his vagabond son home from Italy.",Crime/Mystery,Netflix,Steven Zallian,1,8
Only Muderers in the Building,2021,Three strangers - who live in the same New York City apartment building and share an obsession with true crime - suddenly find themselves embroiled in a murder,Crime/Mystery,Hulu,"John Hoffman, Steve Martin",5,50